gene,Group,degree,tau
WFS1,Stopgain,234,0.7363510045039251
WNT1,Stopgain,684,0.917792415750198
YY1,Stopgain,768,0.5484784343242203
ZEB2,Stopgain,266,0.8361655577567586
ZIC1,Stopgain,238,0.98569277013344
ZNF148,Stopgain,84,0.5610893420599934
ZNF292,Stopgain,76,0.752052123336505
CDK19,Stopgain Control,204,0.6852457325981107
ABCB6,Stopgain Control,148,0.6507561833416963
PHIP,Stopgain Control,150,0.5597647239056899
SOX5,Stopgain Control,202,0.8535675243990369
LAMA4,Stopgain Control,236,0.8910751390661842
TRAF3,Stopgain Control,516,0.8370313732543891
LGR4,Stopgain Control,116,0.5759774902295534
TMEM106B,Stopgain Control,114,0.5280650738785766
JARID2,Stopgain Control,344,0.7646323282326064
MAP3K1,Stopgain Control,398,0.8111166390029547
TLR3,Stopgain Control,600,0.6158861871053632
MET,Stopgain Control,742,0.7322253450133402
CACNA1G,Stopgain Control,326,0.9453941108125308
CACNA1H,Stopgain Control,322,0.832502679509881
TNFRSF1A,Stopgain Control,672,0.5363170425527397
SCN10A,Stopgain Control,260,0.9907693921177754
IFNGR1,Stopgain Control,358,0.718318127045682
KDR,Stopgain Control,974,0.8355478044950715
LBR,Stopgain Control,280,0.7273907065278431
VWF,Stopgain Control,814,0.8454097179323949
PACS2,Stopgain Control,144,0.815147561564439
LYN,Stopgain Control,770,0.9309519040860476
SAMD9,Stopgain Control,122,0.8845845971973367
ITPR3,Stopgain Control,514,0.7900267519883978
ABL1,Stopgain Control,872,0.6784956845834528
HCN4,Stopgain Control,234,0.9827603572532154
ZNF462,Stopgain Control,82,0.6580481435193989
CACNB2,Stopgain Control,364,0.7885477620570872
GRIN2D,Stopgain Control,266,0.8490539626435935
TET3,Stopgain Control,110,0.8287882926620438
FAM111B,Stopgain Control,68,0.9886585146354432
NEFH,Stopgain Control,242,0.9461437918463654
IKZF1,Stopgain Control,562,0.9471263327068922
HDC,Stopgain Control,134,0.8589562499865371
IRF2BP2,Stopgain Control,68,0.6093472439800947
ZCCHC8,Stopgain Control,140,0.5423723192593988
ZNF644,Stopgain Control,118,0.5729791110525391
ABCC11,Stopgain Control,36,0.960233352565142
DICER1,Stopgain Control,958,0.6389773689568568
HRG,Stopgain Control,246,0.9795526173173412
KAT5,Stopgain Control,962,0.5371853428205714
TFG,Stopgain Control,240,0.6052747764165525
APOL1,Stopgain Control,152,0.7466645874497918
CACNA1I,Stopgain Control,208,0.8945368739950851
CACNA1S,Stopgain Control,394,0.9992672272385212
STOX1,Stopgain Control,80,0.7993914517302549
KMT2B,Stopgain Control,520,0.6627570798220206
BSCL2,Stopgain Control,248,0.7937623551860326
CDON,Stopgain Control,104,0.8473896967722022
LAMB3,Stopgain Control,256,0.8177284016452457
LRP1,Stopgain Control,404,0.7763311844926235
FAT2,Stopgain Control,86,0.9757829100740464
KCNH5,Stopgain Control,142,0.9682496652600708
WBP11,Stopgain Control,122,0.6117951999126034
SLC39A14,Stopgain Control,122,0.8981422202060111
F5,Stopgain Control,244,0.9534097283493204
TUBG1,Stopgain Control,322,0.9190242783485022
KIF5A,Stopgain Control,550,0.9395110363774128
GNB2,Stopgain Control,576,0.6469919101755887
RBM12,Stopgain Control,84,0.6800368370133093
ENAM,Stopgain Control,94,0.9292582210692648
POU6F2,Stopgain Control,66,0.9011296304455884
CUX1,Stopgain Control,346,0.7119169595740474
ATXN1,Stopgain Control,250,0.5983389345051517
SERPIND1,Stopgain Control,186,0.9765052413752504
TBX2,Stopgain Control,194,0.8783242739535149
THSD1,Stopgain Control,100,0.7403493782756951
EIF2AK1,Stopgain Control,200,0.5021456706881415
ANXA11,Stopgain Control,106,0.596784261138842
CSRP3,Stopgain Control,238,0.982402650558405
COMT,Stopgain Control,428,0.5403129996826149
MYLK2,Stopgain Control,174,0.9973356148796276
TIE1,Stopgain Control,84,0.7777902727372898
NR2F2,Stopgain Control,246,0.8648959855119275
SHOC2,Stopgain Control,208,0.6564709039301323
IVNS1ABP,Stopgain Control,94,0.6508047811002245
GANAB,Stopgain Control,170,0.7515230753183795
OSMR,Stopgain Control,174,0.8219357698447658
PRLR,Stopgain Control,250,0.940443530386829
TIMP3,Stopgain Control,332,0.8111692627647583
NOVA2,Stopgain Control,154,0.7964915763356635
GHSR,Stopgain Control,136,0.9934151331983584
IRF3,Stopgain Control,622,0.7700791382246922
TSC1,Stopgain Control,348,0.6781163373295164
SLC52A1,Stopgain Control,22,0.938517167028084
ALG10B,Stopgain Control,114,0.7133643195498518
SAMD9L,Stopgain Control,134,0.8835628367347952
